X,Y,OBJECTID,Ward,Precinct,Location2,Location3,Location4,Voting_Room,HP_Entrance_Only
781862.084171221,2958579.99549897,1,1,1,SAMUEL ADAMS ELEMENTARY SCHOOL,"165 WEBSTER STREET, 02128",,VOTE IN AUDITORIUM,
782035.534283638,2959923.87502906,2,1,2,DONALD MCKAY SCHOOL,"122 COTTAGE STREET, 02128",,VOTE IN MUSIC ROOM,
780575.099868551,2959689.99590364,3,1,3,B.H.A. HERITAGE APARTMENTS,"209 SUMNER STREET, 02128",,VOTE IN COMMUNITY ROOM,
781823.115089059,2964189.8284394,4,1,6,EAST BOSTON HIGH SCHOOL GYMNASIUM,"86 WHITE STREET, 02128",,VOTE IN GYMNASIUM,
781134.692581385,2961245.50394748,5,1,4,PARIS STREET COMMUNITY CENTER,"112 PARIS STREET, 02128",,VOTE IN GYMNASIUM,
781134.692581385,2961245.50394748,6,1,5,PARIS STREET COMMUNITY CENTER,"112 PARIS STREET, 02128",,VOTE IN GYMNASIUM,
781823.115089059,2964189.8284394,7,1,7,EAST BOSTON HIGH SCHOOL GYMNASIUM,"86 WHITE STREET, 02128",,VOTE IN GYMNASIUM,
781823.115089059,2964189.8284394,8,1,8,EAST BOSTON HIGH SCHOOL GYMNASIUM,"86 WHITE STREET, 02128",,VOTE IN GYMNASIUM,
781823.115089059,2964189.8284394,9,1,10,EAST BOSTON HIGH SCHOOL GYMNASIUM,"86 WHITE STREET, 02128",,VOTE IN GYMNASIUM,
781823.115089059,2964189.8284394,10,1,9,EAST BOSTON HIGH SCHOOL GYMNASIUM,"86 WHITE STREET, 02128",,VOTE IN GYMNASIUM,
789992.189302057,2965366.29393423,11,1,12,ORIENT HEIGHTS YACHT CLUB,"61 BAYSWATER STREET, 02128",,VOTE IN FUNCTION ROOM,
785812.929944053,2965257.48378439,12,1,11,CHEVERUS SCHOOL APARTMENTS,"10 MOORE STREET, 02128",,VOTE IN LOBBY,
790115.888857812,2967001.12235747,13,1,13,CURTIS GUILD ELEMENTARY SCHOOL,"195 LEYDEN STREET, 02128",,VOTE IN GYMNASIUM,
779185.079354644,2941629.8538744,14,1,15,CORCORAN MULLINS JENNISON COMMUNITY BUILDING,"270 MOUNT VERNON STREET, 02125",,"Vote in Portland Hall, 2nd Floor",
788971.278286144,2968445.31435098,15,1,14,ORIENT HEIGHTS HOUSING COMMUNITY BUILDING,"38 VALLAR ROAD, 02128",,VOTE IN COMMUNITY ROOM,
775718.203414381,2962578.27752864,16,2,2,HARVARD/KENT SCHOOL,"50 BUNKER HILL STREET, 02129",,VOTE IN GYMNASIUM,
773347.915832132,2962484.10284823,17,2,1,ZELMA LACEY HOUSE,"9 WEST SCHOOL STREET, 02129",,VOTE IN COMMUNITY ROOM,
773097.070533305,2963459.86467622,18,2,5,CLARENCE R. EDWARDS MIDDLE SCHOOL,"28 WALKER STREET, 02129",,VOTE IN GYMNASIUM,
775718.203414381,2962578.27752864,19,2,4,HARVARD/KENT SCHOOL,"50 BUNKER HILL STREET, 02129",,VOTE IN GYMNASIUM,
773097.070533305,2963459.86467622,20,2,6,CLARENCE R. EDWARDS MIDDLE SCHOOL,"28 WALKER STREET, 02129",,VOTE IN GYMNASIUM,
773347.915832132,2962484.10284823,21,2,3,ZELMA LACEY HOUSE,"9 WEST SCHOOL STREET, 02129",,VOTE IN CONFERENCE ROOM,
777249.282701299,2957416.83378331,22,3,1,"CHRISTOPHER COLUMBUS ELDERLY HOUSING,","145 COMMERCIAL STREET, 02109",,VOTE IN COMMUNITY ROOM,
775755.775189638,2958304.8028079,23,3,4,CASA MARIA APARTMENTS,"130 ENDICOTT STREET, 02113",,VOTE IN RICKY ANZILOTTI COMMUNITY ROOM.,
772369.530321717,2963709.10728797,24,2,7,GOLDEN AGE SENIOR CENTER,"382 MAIN STREET, 02129",,VOTE IN LUNCH ROOM,
776586.619656548,2958449.4265344,25,3,2,NAZZARO COMMUNITY CENTER,"30 NORTH BENNETT STREET, 02113",,VOTE IN COMMUNITY ROOM,
776586.619656548,2958449.4265344,26,3,3,NAZZARO COMMUNITY CENTER,"30 NORTH BENNETT STREET, 02113",,VOTE IN COMMUNITY ROOM,
772731.611946642,2949789.88348606,27,3,7,CATHEDRAL HIGH SCHOOL GYMNASIUM,"1336 WASHINGTON STREET, 02118",,,
773551.622117639,2958560.23274323,28,3,5,AMY LOWELL HOUSE,"65 MARTHA ROAD, 02114",,VOTE IN COMMUNITY ROOM,
771487.360826224,2950792.21842365,29,4,1,WILLIAM MCKINLEY SOUTH END ACADEMY,"90 WARREN AVENUE, 02116",,VOTE IN GYMNASIUM,
770758.986298725,2951679.97977148,30,4,2,TENT CITY COMMUNITY ROOM,"130 DARTMOUTH STREET, 02116",,VOTE IN COMMUNITY ROOM,
771487.360826224,2950792.21842365,31,4,3,WILLIAM MCKINLEY SOUTH END ACADEMY,"90 WARREN AVENUE, 02116",,VOTE IN GYMNASIUM,
773688.145466641,2952376.38651514,32,3,8,WANG YMCA OF CHINATOWN,"8 OAK STREET WEST, 02116",,VOTE IN GYMNASIUM,
769884.279714808,2949248.92623465,33,4,4,FREDERICK DOUGLASS APARTMENTS,"755 TREMONT STREET, 02118",,VOTE IN COMMUNITY ROOM,
775588.898226798,2956559.0520343,34,3,6,CITY HALL,"1 CITY HALL PLAZA, 02201",,VOTE IN HALLWAY BY CREDIT UNION (NORTH SIDE),
768503.046912968,2949680.56677556,35,4,5,MATTHEWS ARENA,"238 SAINT BOTOLPH STREET, 02115",,,
768503.046912968,2949680.56677556,36,4,6,MATTHEWS ARENA,"238 SAINT BOTOLPH STREET, 02115",,,
768503.046912968,2949680.56677556,37,4,7,MATTHEWS ARENA,"238 SAINT BOTOLPH STREET, 02115",,,
768503.046912968,2949680.56677556,38,4,8,MATTHEWS ARENA,"238 SAINT BOTOLPH STREET, 02115",,,
765899.167606309,2947540.87387648,39,4,9,"WENTWORTH INSTITUTE, ANNEX CENTRAL BUILDING","550 PARKER STREET, 02115",,VOTE IN CASELLA GALLERY,
772368.232752144,2951419.45765473,40,5,1,BENJAMIN FRANKLIN INSTITUTE OF TECHNOLOGY,"41 BERKELEY STREET, 02116",,VOTE IN AUDITORIUM,
764067.905848891,2949036.22062331,41,4,10,SIMMONS COLLEGE - LEFAVOUR HALL AND BEATLEY LIBRARY,"2 AVENUE LOUIS PASTEUR, 02115",,"VOTE IN KOTZEN MEETING CENTER AND TERRACE, ROOMS L-001 AND L-002.",
765129.326298222,2950873.90526815,42,5,2,FENWAY COMMUNITY CENTER,"1282 BOYLSTON STREET, 02215",,,
764969.066448137,2950400.49610998,43,5,2A,BOSTON TEMPLE SEVENTH-DAY ADVENTIST CHURCH,"105 JERSEY STREET, 02215",,,
774076.598429888,2955892.37259339,44,5,03,STATE HOUSE,"24 BEACON STREET, 02133",,HEARING ROOM B1 IN BASEMENT,
771748.562075466,2953802.61233723,45,5,06,EMMANUEL EPISCOPAL CHURCH,"15 NEWBURY STREET, 02116",,VOTE IN COMMUNITY ROOM,
772141.701052964,2955717.83816557,46,5,05,HILL HOUSE COMMUNITY CENTER,"127 MOUNT VERNON STREET, 02108",,VOTE IN COMMUNITY ROOM (INSIDE FIRE DOORS),
770063.05724439,2952570.10856864,47,5,07,COPLEY SQUARE LIBRARY,"700 BOYLSTON STREET, 02120",,,
773732.210667223,2957066.98966673,48,5,04,WEST END LIBRARY,"151 CAMBRIDGE STREET, 02114",,VOTE IN COMMUNITY ROOM,
770063.05724439,2952570.10856864,49,5,08,COPLEY SQUARE LIBRARY,"700 BOYLSTON STREET, 02120",,,
767977.76712364,2951572.67158714,50,5,09,SAINT CECILIA PARISH,"18 BELVIDERE STREET, 02115",,GROUND LEVEL GLASS DOORS. VOTE IN PARISH HALL,
772141.701052964,2955717.83816557,51,5,11,HILL HOUSE COMMUNITY CENTER,"127 MOUNT VERNON STREET, 02108",,VOTE IN COMMUNITY ROOM (INSIDE FIRE DOORS),
