X,Y,FID,OBJECTID,Spaces,Fee,Comments,Phone,Name,Address,Neighborho,Maxspaces,Hours,GlobalID,CreationDate,Creator,EditDate,Editor
-7918414.1985,5213945.5113,1,1,60,No Charge, , ,Municipal Lot #003,115 Harvard Ave, ,0, ,{1BC385C4-285F-49D6-A606-151380906D38},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:09:20+00,BostonGIS
-7920695.3886,5213501.8242,2,2,42,No Charge, , ,Municipal Lot #002,398 Market St, ,0, ,{A9FCF634-AE60-407A-8B05-9BCAC6BFEB63},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:09:20+00,BostonGIS
-7917328.7213,5215701.1131,3,3,,No Charge,"Only Allston and Brighton residents can park at this garage during a snow emergency only. May need to show proof of residency. Parking spots are limited and on a first-come, first-served basis. If parked past the approved the time, may be ticketed/towed.",617-496-6400,Harvard University/Soldiers Field Park Garage ,111 Western Ave, ,0, ,{9E939045-7D01-4981-BD86-819EEC93EC7C},2017/12/04 17:09:20+00,BostonGIS,2019/01/15 20:03:28+00,BostonGIS
-7921074.2524,5203874.2085,4,4,18,No Charge,, ,Municipal Lot #034,1891 Centre Street, ,0, ,{0CDDFBC4-5AFB-40FB-A783-D9F98C95F3A7},2017/12/04 17:09:20+00,BostonGIS,2019/06/28 15:53:20+00,BostonGIS
-7920843.6753,5203887.0096,5,5,53,No Charge, , ,Municipal Lot #010,39-41 Corey St, ,0, ,{5379D27E-2F96-43CA-AEA2-9810BAD6AC36},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:34:41+00,
-7910585.4896,5214061.0225,6,6,,$10 for each 24-hour period,"Discounted parking is only for Chinatown, Downtown, and North End residents. You need to provide proof of your residency. You will be charged each time your vehicle exits and re-enters the garage.",617-357-1987,Lafayette Garage,1 Avenue De Lafayette, ,0, ,{6A6F6ABA-32F9-4ED4-8FAF-86B3527B017F},2017/12/04 17:09:20+00,BostonGIS,2019/01/15 16:31:05+00,BostonGIS
-7908861.0516,5211509.0103,7,7,60,No Charge, , ,Municipal Lot #018,450 West Broadway, ,0, ,{5F992294-E587-4CAB-90AC-58E9B9E2765D},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:09:20+00,BostonGIS
-7907958.6192,5211428.3993,8,8,22,No Charge, , ,Municipal Lot #021,"650-652 East Broadway
", ,0, ,{22459E32-8031-4D07-A2B3-37724EC6D665},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:09:20+00,BostonGIS
-7907683.9864,5212805.0405,9,9,,$1 for each night,Discounted rate for residents of South Boston only. South Boston Resident Parking Permits are required.  Snow Emergency parking is allowed on the fourth floor of the garage only.,617-482-2487,BPDA/EDIC Garage,12 Drydock Ave, ,0, ,{6BD71B92-C461-4A3C-AD4A-9426FDC474B4},2017/12/04 17:09:20+00,BostonGIS,2019/01/16 15:45:09+00,BostonGIS
-7913403.1703,5211611.0029,10,10,,You pay 50% of the variable rate. The most you will pay is $17.50 for each 24-hour period.,"Discounted parking is for Roxbury, South End, and Fenway/Kenmore residents only. Need to have a visible resident parking permit sticker to receive the discount. Parking is based on a first-come basis and depends on the availability of space.",617-267-9677,Northeastern University/Renaissance Park Garage,835 Columbus Avenue, ,0, ,{5053FD3B-4799-4027-94BC-947C69D25945},2017/12/04 17:09:20+00,BostonGIS,2019/01/15 16:31:35+00,BostonGIS
-7913221.1575,5212108.1946,11,11,,You pay 50% of the variable rate. The most you will pay is $17.50 for each 24-hour period.,"Discounted parking is for Roxbury, South End, and Fenway/Kenmore residents only. Need to have a visible resident parking permit sticker to receive the discount. Parking is based on a first-come basis and depends on the availability of space.",617-266-7260,Northeastern University/Gainsboro Garage,10 Gainsborough Street, ,0, ,{1CD2FF90-10CB-48D0-B77F-76B92CBBA22E},2017/12/04 17:09:20+00,BostonGIS,2019/01/15 16:31:27+00,BostonGIS
-7913231.8703,5213115.979,12,12,,$10/24 hrs,"Discounted parking is only for Back Bay, Beacon Hill, Chinatown, Downtown, Fenway/Kenmore, and South End residents. You will be charged each time you exit and re-enter the garage with your vehicle.",617-247-8006,Auditorium Garage,50 Dalton St, ,0, ,{005A11ED-4A55-4373-B4B7-1CDA6571E451},2017/12/04 17:09:20+00,BostonGIS,2019/01/15 16:30:22+00,BostonGIS
-7909345.5398,5217566.2189,13,13,,FULL,"Charlestown residents only.  Limited space so the garage enforces the 2 hour rule.  Anyone who enters more than 2 hours before the Snow Emergency is in effect and/or departs more than 2 hours after the ban has lifted, will not receive the discount rate.", ,Shipyard Garage/Mass General Hospital,"Building #199 13th St
", ,0, ,{4A6DD815-9A4A-48AB-B910-A688E451FD92},2017/12/04 17:09:20+00,BostonGIS,2019/01/15 16:31:46+00,BostonGIS
-7911698.6402,5204726.8384,15,15,42,No Charge, , ,Municipal Lot #017,"575-581 Washington St
", ,0, ,{C2C0EBAC-589D-468A-9BA8-CD9A8A8EFF0A},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:09:20+00,BostonGIS
-7910949.3669,5208745.3648,16,16,100,No Charge, , ,Municipal Lot #019,16 Hamlet St, ,0, ,{E95D9902-6513-4D26-BB9F-3D5579F5E320},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:09:20+00,BostonGIS
-7910427.2972,5206386.2007,17,17,22,No Charge, , ,"Municipal Lot #020 
",191 Adams St, ,0, ,{2849C5FF-FCC8-4D56-B667-1454C6D222DA},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:09:20+00,BostonGIS
-7911151.4109,5208755.2518,18,18,12,No Charge, , ,Municipal Lot #022,730-732 Dudley St, ,0, ,{7035791D-A24A-4811-A077-2AFF4BB74E15},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:09:20+00,BostonGIS
